src_asn,src_org,src_geo,src_port,last_seen,first_seen,l4_proto,src_ip,dst_ip,dst_asn,dst_org,dst_geo,dst_port,d2s_bytes,s2d_bytes
-1,N/A,N/A,54619,1709720698408,2024-03-06 10:15:17.877+00,TCP,192.168.100.100,54.85.240.191,14618,AMAZON-AES,Ashburn,443,6101,14434
-1,N/A,N/A,61813,1709720667659,2024-03-06 10:24:27.419+00,UDP,192.168.100.100,172.217.194.154,15169,GOOGLE,N/A,443,22718,8132
-1,N/A,N/A,54794,1709720686357,2024-03-06 10:24:45.986+00,TCP,192.168.100.100,157.240.198.17,32934,FACEBOOK,Noida,443,8255,3994
-1,N/A,N/A,56988,1709720676653,2024-03-06 10:24:36.647+00,TCP,192.168.100.100,13.107.3.128,8068,MICROSOFT-CORP-MSN-AS-BLOCK,N/A,443,66,60
-1,N/A,N/A,54796,1709720686086,2024-03-06 10:24:46.009+00,TCP,192.168.100.100,157.240.198.17,32934,FACEBOOK,Noida,443,831,890
-1,N/A,N/A,62209,1709720681343,2024-03-06 10:24:41.188+00,TCP,192.168.100.100,13.76.153.29,8075,MICROSOFT-CORP-MSN-AS-BLOCK,Singapore,443,100,171
-1,N/A,N/A,57856,1709720682443,2024-03-06 10:24:42.443+00,UDP,fe80::b3bc:a5c2:51d1:8981,ff02::1:3,-1,N/A,N/A,5355,0,92
-1,N/A,N/A,56723,1709720685448,2024-03-06 10:24:45.44+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,118,78
-1,N/A,N/A,58793,1709720697085,2024-03-06 10:23:33.898+00,UDP,192.168.100.100,142.250.206.110,15169,GOOGLE,N/A,443,12456,17432
-1,N/A,N/A,57796,1709720693179,2024-03-06 10:24:52.938+00,UDP,192.168.100.100,74.125.200.84,15169,GOOGLE,N/A,443,2578,1756
-1,N/A,N/A,49558,1709720672012,2024-03-06 10:24:32.003+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,212,92
-1,N/A,N/A,59801,1709720683934,2024-03-06 10:24:43.927+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,283,77
-1,N/A,N/A,52686,1709720677332,2024-03-06 10:24:27.942+00,TCP,192.168.100.100,67.199.150.90,62713,AS-PUBMATIC,Singapore,443,5633,5337
-1,N/A,N/A,58308,1709720663501,2024-03-06 10:24:23.311+00,TCP,192.168.100.100,3.7.36.101,16509,AMAZON-02,Mumbai,443,8914,2542
-1,N/A,N/A,51517,1709720695971,2024-03-06 10:24:55.758+00,UDP,192.168.100.100,142.250.192.227,15169,GOOGLE,N/A,443,8722,4869
-1,N/A,N/A,55253,1709720670380,2024-03-06 10:24:30.374+00,TCP,192.168.100.100,96.17.182.91,9498,BHARTI Airtel Ltd.,New Delhi,443,66,60
-1,N/A,N/A,49641,1709720690009,2024-03-06 10:23:37.72+00,UDP,192.168.100.100,163.70.146.63,32934,FACEBOOK,Delhi,443,8205,61719
-1,N/A,N/A,56743,1709720664076,2024-03-06 10:24:24.062+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,255,118
-1,N/A,N/A,54940,1709720680774,2024-03-06 10:24:40.695+00,TCP,192.168.100.100,142.250.193.3,15169,GOOGLE,N/A,80,484,549
-1,N/A,N/A,52530,1709720680848,2024-03-06 10:24:40.695+00,TCP,192.168.100.100,142.250.193.3,15169,GOOGLE,N/A,443,556,1124
-1,N/A,N/A,54942,1709720682661,2024-03-06 10:24:42.522+00,TCP,192.168.100.100,142.250.193.3,15169,GOOGLE,N/A,80,484,549
-1,N/A,N/A,52681,1709720677326,2024-03-06 10:24:27.836+00,TCP,192.168.100.100,104.17.202.110,13335,CLOUDFLARENET,N/A,443,65261,7889
-1,N/A,N/A,50569,1709720691851,2024-03-06 10:24:51.653+00,UDP,192.168.100.100,142.250.206.163,15169,GOOGLE,N/A,443,5754,4345
-1,N/A,N/A,64914,1709720693132,2024-03-06 10:24:52.862+00,UDP,192.168.100.100,74.125.24.155,15169,GOOGLE,N/A,443,25778,7109
-1,N/A,N/A,54078,1709720699132,2024-03-06 10:15:08.889+00,TCP,192.168.1.15,138.199.14.80,60068,Datacamp Limited,Marseille,443,6294,5940
